perfil;red_social;tweets_post_totales;tweets_post_diarios;seguidores_fans_totales;seguidores_fans_diarios;fecha
Cultura de Castilla y León;2;3017;5;12853;1;1/03/2024
Museos de Castilla y León;2;666;0;26736;10;2/03/2024
Centro de Emergencias Castilla y León 112;2;426;12;81178;22;2/03/2024
Tierra de Sabor;2;9830;0;29455;4;2/03/2024
Castilla y León Digital;2;215;3;6582;1;2/03/2024
Patrimonio Castilla y León;2;2142;0;2901;0;2/03/2024
Educación;2;218;0;59724;8;2/03/2024
Naturaleza Castilla y León;2;8644;2;16851;2;2/03/2024
Atención al ciudadano 012;2;1452;0;12475;3;2/03/2024
Energía EREN;2;1201;0;3355;0;2/03/2024
Empresas JCYL - ICE;2;26;0;3233;2;2/03/2024
Salud+JCYL;2;1792;3;43511;9;3/03/2024
ITACYL Instituto Técnico Agrario;2;516;1;2782;0;3/03/2024
Deporte en Castilla y León;2;4007;1;1034;1;3/03/2024
Naturaleza Castilla y León;2;8644;0;16855;4;3/03/2024
Trabajo y Prevención de Castilla y León;2;191;0;4525;-1;3/03/2024
Empresas JCYL - ICE;2;26;0;3235;2;3/03/2024
Salud+JCYL;2;1795;3;43520;9;4/03/2024
Instituto de la Juventud de Castilla y León;2;356;6;19259;-3;4/03/2024
Museos de Castilla y León;2;684;9;26737;3;4/03/2024
Patrimonio Natural;2;144;3;8601;2;4/03/2024
Castilla y León Digital;2;222;3;6588;3;4/03/2024
FUESCYL Fundación Universidades;2;122;12;3671;0;4/03/2024
Cultura de Castilla y León;2;3032;5;12857;2;4/03/2024
Empresas JCYL - ICE;2;30;4;3236;1;4/03/2024
Salud+JCYL;2;1798;3;43524;4;5/03/2024
Instituto de la Juventud de Castilla y León;2;361;5;19255;-4;5/03/2024
Museos de Castilla y León;2;694;10;26735;-2;5/03/2024
Gobierno Abierto de Castilla y León Transparencia;2;313;5;3769;1;5/03/2024
Turismo Castilla y León es Vida;2;614;0;124062;9;5/03/2024
Patrimonio Natural;2;147;3;8600;-1;5/03/2024
FUESCYL Fundación Universidades;2;128;6;3671;0;5/03/2024
Educación;2;225;0;59740;8;5/03/2024
Cultura de Castilla y León;2;3032;0;12859;2;5/03/2024
Atención al ciudadano 012;2;1465;7;12478;2;5/03/2024
Energía EREN;2;1213;7;3353;-1;5/03/2024
Centro de Emergencias Castilla y León 112;2;440;0;81210;3;6/03/2024
Turismo Castilla y León es Vida;2;614;0;124067;5;6/03/2024
Tierra de Sabor;2;9854;2;29454;-2;6/03/2024
Marca Territorio;2;241;2;16237;2;6/03/2024
Patrimonio Natural;2;150;3;8599;-1;6/03/2024
Castilla y León Digital;2;222;0;6587;0;6/03/2024
Familia;2;18;0;3804;-2;6/03/2024
Educación;2;225;0;59755;15;6/03/2024
Energía EREN;2;1221;8;3352;-1;6/03/2024
Empresas JCYL - ICE;2;30;0;3240;2;6/03/2024
Salud+JCYL;2;1806;4;43541;4;7/03/2024
Instituto de la Juventud de Castilla y León;2;373;6;19250;-2;7/03/2024
Comunicación Junta de Castilla y León;2;2229;13;85301;17;7/03/2024
Patrimonio Natural;2;150;0;8599;0;7/03/2024
FUESCYL Fundación Universidades;2;145;7;3669;0;7/03/2024
ITACYL Instituto Técnico Agrario;2;521;4;2784;1;7/03/2024
Patrimonio Castilla y León;2;2142;0;2900;0;7/03/2024
Energía EREN;2;1233;12;3352;0;7/03/2024
Empresas JCYL - ICE;2;35;5;3240;0;7/03/2024
Salud+JCYL;2;1810;4;43546;5;8/03/2024
Centro de Emergencias Castilla y León 112;2;440;0;81231;10;8/03/2024
Castilla y León Digital;2;222;0;6591;4;8/03/2024
FUESCYL Fundación Universidades;2;156;11;3670;1;8/03/2024
Familia;2;18;0;3806;3;8/03/2024
Atención al ciudadano 012;2;1486;7;12478;0;8/03/2024
Salud+JCYL;2;1813;3;43547;1;9/03/2024
Comunicación Junta de Castilla y León;2;2251;9;85350;30;9/03/2024
Tierra de Sabor;2;9886;12;29445;-3;9/03/2024
FUESCYL Fundación Universidades;2;156;0;3669;-1;9/03/2024
Educación;2;225;0;59751;2;9/03/2024
Cultura de Castilla y León;2;3032;0;12879;5;9/03/2024
Atención al ciudadano 012;2;1486;0;12482;4;9/03/2024
Energía EREN;2;1241;0;3350;-1;9/03/2024
Museos de Castilla y León;2;741;9;26737;2;10/03/2024
Comunicación Junta de Castilla y León;2;2260;9;85376;26;10/03/2024
Tierra de Sabor;2;9887;1;29446;1;10/03/2024
ECLAP Escuela de Administración Pública;2;235;8;6067;2;10/03/2024
Marca Territorio;2;247;1;16241;5;10/03/2024
Trabajo y Prevención de Castilla y León;2;191;0;4529;1;10/03/2024
Museos de Castilla y León;2;750;9;26740;3;11/03/2024
Tierra de Sabor;2;9893;6;29448;2;11/03/2024
Familia;2;21;3;3808;-2;11/03/2024
Educación;2;231;6;59765;14;11/03/2024
Atención al ciudadano 012;2;1486;0;12483;1;11/03/2024
Instituto de la Juventud de Castilla y León;2;395;6;19248;-3;12/03/2024
Museos de Castilla y León;2;759;9;26743;3;12/03/2024
Gobierno Abierto de Castilla y León Transparencia;2;338;5;3767;0;12/03/2024
Turismo Castilla y León es Vida;2;637;12;124086;0;12/03/2024
ITACYL Instituto Técnico Agrario;2;531;2;2788;0;12/03/2024
Deporte en Castilla y León;2;4031;2;1169;134;12/03/2024
Educación;2;234;3;59778;13;12/03/2024
Atención al ciudadano 012;2;1487;1;12487;4;12/03/2024
Instituto de la Juventud de Castilla y León;2;395;0;19248;0;13/03/2024
Museos de Castilla y León;2;759;0;26742;-1;13/03/2024
Gobierno Abierto de Castilla y León Transparencia;2;342;4;3768;1;13/03/2024
Comunicación Junta de Castilla y León;2;2294;11;85441;16;13/03/2024
Turismo Castilla y León es Vida;2;651;14;124092;6;13/03/2024
Educación;2;239;5;59780;2;13/03/2024
Cultura de Castilla y León;2;3047;5;12900;10;13/03/2024
Trabajo y Prevención de Castilla y León;2;207;6;4533;3;13/03/2024
Instituto de la Juventud de Castilla y León;2;395;0;19249;1;14/03/2024
Gobierno Abierto de Castilla y León Transparencia;2;350;8;3767;-1;14/03/2024
Comunicación Junta de Castilla y León;2;2306;12;85462;21;14/03/2024
Tierra de Sabor;2;9916;9;29445;-3;14/03/2024
Castilla y León Digital;2;238;4;6602;2;14/03/2024
FUESCYL Fundación Universidades;2;201;13;3674;4;14/03/2024
ITACYL Instituto Técnico Agrario;2;534;2;2791;3;14/03/2024
Deporte en Castilla y León;2;4035;3;1151;-19;14/03/2024
Educación;2;247;8;59792;12;14/03/2024
Trabajo y Prevención de Castilla y León;2;213;6;4534;1;14/03/2024
Empresas JCYL - ICE;2;69;6;3248;2;14/03/2024
Castilla y León Digital;2;243;5;6601;-1;15/03/2024
FUESCYL Fundación Universidades;2;201;0;3673;-1;15/03/2024
ITACYL Instituto Técnico Agrario;2;536;2;2792;1;15/03/2024
Deporte en Castilla y León;2;4035;0;1152;1;15/03/2024
Salud+JCYL;2;1834;2;43595;6;16/03/2024
Gobierno Abierto de Castilla y León Transparencia;2;356;1;3766;-1;16/03/2024
Centro de Emergencias Castilla y León 112;2;481;10;81244;-6;16/03/2024
Turismo Castilla y León es Vida;2;693;12;124089;-13;16/03/2024
Tierra de Sabor;2;9936;7;29449;3;16/03/2024
ECLAP Escuela de Administración Pública;2;281;8;6075;0;16/03/2024
Castilla y León Digital;2;244;1;6599;-2;16/03/2024
Familia;2;25;0;3812;1;16/03/2024
Trabajo y Prevención de Castilla y León;2;223;3;4536;1;16/03/2024
Atención al ciudadano 012;2;1499;3;12494;-2;16/03/2024
Empresas JCYL - ICE;2;70;0;3249;0;16/03/2024
Instituto de la Juventud de Castilla y León;2;400;2;19242;-3;17/03/2024
Familia;2;29;4;3811;-1;17/03/2024
Deporte en Castilla y León;2;4035;0;0;0;17/03/2024
Cultura de Castilla y León;2;3067;5;12910;0;17/03/2024
Patrimonio Natural;2;177;3;8596;2;18/03/2024
Castilla y León Digital;2;245;1;6600;2;18/03/2024
Atención al ciudadano 012;2;1506;7;12500;5;18/03/2024
ECLAP Escuela de Administración Pública;2;308;10;6077;0;19/03/2024
Castilla y León Digital;2;247;2;6599;-1;19/03/2024
Familia;2;31;0;3819;1;19/03/2024
Educación;2;258;4;59819;7;19/03/2024
Naturaleza Castilla y León;2;8656;0;16905;1;19/03/2024
Empresas JCYL - ICE;2;76;4;3251;1;19/03/2024
Instituto de la Juventud de Castilla y León;2;422;6;19254;4;20/03/2024
Turismo Castilla y León es Vida;2;757;15;124116;0;20/03/2024
Tierra de Sabor;2;10006;22;29456;-1;20/03/2024
ECLAP Escuela de Administración Pública;2;319;11;6078;1;20/03/2024
Marca Territorio;2;263;2;16255;2;20/03/2024
Familia;2;32;1;3822;3;20/03/2024
Trabajo y Prevención de Castilla y León;2;246;7;4545;3;20/03/2024
Atención al ciudadano 012;2;1529;12;12507;5;20/03/2024
Energía EREN;2;1280;2;3357;3;20/03/2024
Empresas JCYL - ICE;2;86;10;3253;2;20/03/2024
Instituto de la Juventud de Castilla y León;2;427;5;19254;0;21/03/2024
Museos de Castilla y León;2;814;9;26753;0;21/03/2024
Gobierno Abierto de Castilla y León Transparencia;2;377;4;3767;2;21/03/2024
Centro de Emergencias Castilla y León 112;2;516;6;81281;8;21/03/2024
ECLAP Escuela de Administración Pública;2;328;9;6080;2;21/03/2024
FUESCYL Fundación Universidades;2;224;5;3676;0;21/03/2024
ITACYL Instituto Técnico Agrario;2;547;2;2791;2;21/03/2024
Familia;2;33;1;3822;0;21/03/2024
Educación;2;268;5;59838;10;21/03/2024
Naturaleza Castilla y León;2;8673;3;16904;-2;21/03/2024
Energía EREN;2;1287;7;3358;1;21/03/2024
Empresas JCYL - ICE;2;91;5;3253;0;21/03/2024
Salud+JCYL;2;1856;2;43631;10;22/03/2024
Comunicación Junta de Castilla y León;2;2397;11;85764;82;22/03/2024
Centro de Emergencias Castilla y León 112;2;522;6;81303;22;22/03/2024
Tierra de Sabor;2;10037;9;29452;-3;22/03/2024
Castilla y León Digital;2;261;6;6604;2;22/03/2024
FUESCYL Fundación Universidades;2;229;5;3675;-1;22/03/2024
Tierra de Sabor;2;10037;0;29455;3;23/03/2024
ECLAP Escuela de Administración Pública;2;345;8;6082;2;23/03/2024
Patrimonio Natural;2;194;3;8601;1;23/03/2024
Castilla y León Digital;2;263;2;6605;1;23/03/2024
Familia;2;33;0;3824;1;23/03/2024
Patrimonio Castilla y León;2;2142;0;2904;3;23/03/2024
Educación;2;273;0;59860;6;23/03/2024
Cultura de Castilla y León;2;3098;5;12925;1;23/03/2024
Salud+JCYL;2;1858;0;43646;11;24/03/2024
Instituto de la Juventud de Castilla y León;2;437;1;19262;3;24/03/2024
Gobierno Abierto de Castilla y León Transparencia;2;384;1;3769;1;24/03/2024
Centro de Emergencias Castilla y León 112;2;534;7;81307;17;24/03/2024
Turismo Castilla y León es Vida;2;816;15;124161;13;24/03/2024
ECLAP Escuela de Administración Pública;2;353;8;6084;2;24/03/2024
Patrimonio Natural;2;197;3;8601;0;24/03/2024
Deporte en Castilla y León;2;4041;0;1173;6;24/03/2024
Naturaleza Castilla y León;2;8679;0;16907;1;24/03/2024
Atención al ciudadano 012;2;1546;0;12510;5;24/03/2024
Museos de Castilla y León;1;1020;2;9210;-1;25/03/2024
Comunicación Junta de Castilla y León;1;1631;3;38725;9;25/03/2024
Tierra de Sabor;1;4361;3;65601;4;25/03/2024
CREFES Formación y Estudios Sociales;1;45;0;3462;0;25/03/2024
ECLAP Escuela de Administración Pública;1;550;1;3989;1;25/03/2024
Patrimonio Natural;1;443;1;11828;2;25/03/2024
ITACYL Instituto Técnico Agrario;1;1566;4;2846;2;25/03/2024
Deporte en Castilla y León;1;757;1;2357;1;25/03/2024
Empresas JCYL - ICE;1;0;0;879;0;25/03/2024
Instituto de la Juventud de Castilla y León;2;445;8;19252;-10;25/03/2024
Museos de Castilla y León;2;851;9;26759;-2;25/03/2024
Gobierno Abierto de Castilla y León Transparencia;2;388;4;3769;0;25/03/2024
Familia;2;34;1;3830;3;25/03/2024
Deporte en Castilla y León;2;4041;0;1180;7;25/03/2024
Patrimonio Castilla y León;2;2142;0;2904;1;25/03/2024
Naturaleza Castilla y León;2;8681;2;16907;0;25/03/2024
Cultura de Castilla y León;2;3110;7;12927;-3;25/03/2024
Marca Territorio;1;427;1;3674;0;26/03/2024
Empleo en Castilla y León;1;4307;11;14557;6;26/03/2024
ITACYL Instituto Técnico Agrario;1;1569;3;2847;1;26/03/2024
Deporte en Castilla y León;1;758;1;2362;5;26/03/2024
Patrimonio Castilla y León;1;508;0;1436;0;26/03/2024
Museos de Castilla y León;2;860;9;26759;0;26/03/2024
Centro de Emergencias Castilla y León 112;2;542;0;0;0;26/03/2024
Marca Territorio;2;272;2;16266;1;26/03/2024
ITACYL Instituto Técnico Agrario;2;556;1;2798;2;26/03/2024
Educación;2;284;0;59879;7;26/03/2024
Cultura de Castilla y León;2;3115;5;12927;0;26/03/2024
Empresas JCYL - ICE;2;97;2;3255;1;26/03/2024
Centro de Emergencias Castilla y León 112;1;2435;7;23633;11;27/03/2024
Archivos de Castilla y León;1;919;3;6971;0;27/03/2024
Patrimonio Natural;1;445;1;11827;0;27/03/2024
Castilla y León Digital;1;2281;0;3637;5;27/03/2024
Castilla y León Exterior;1;83;1;1023;0;27/03/2024
ITACYL Instituto Técnico Agrario;1;1572;3;2848;1;27/03/2024
Patrimonio Castilla y León;1;508;0;1436;0;27/03/2024
Instituto de la Juventud de Castilla y León;2;459;9;19250;-2;27/03/2024
Gobierno Abierto de Castilla y León Transparencia;2;408;9;3769;0;27/03/2024
Centro de Emergencias Castilla y León 112;2;558;9;81322;-5;27/03/2024
ECLAP Escuela de Administración Pública;2;378;9;6095;0;27/03/2024
Castilla y León Digital;2;279;4;6608;2;27/03/2024
FUESCYL Fundación Universidades;2;246;13;3674;1;27/03/2024
Patrimonio Castilla y León;2;2142;0;2904;1;27/03/2024
Naturaleza Castilla y León;2;8686;2;16910;0;27/03/2024
Empresas JCYL - ICE;2;99;2;3256;1;27/03/2024
Salud+JCYL;1;1146;3;50466;7;28/03/2024
Museos de Castilla y León;1;1026;2;9213;1;28/03/2024
Comunicación Junta de Castilla y León;1;1641;3;38754;4;28/03/2024
Tierra de Sabor;1;4369;1;65608;0;28/03/2024
FUESCYL Fundación Universidades;1;474;1;3487;1;28/03/2024
Empleo en Castilla y León;1;4328;4;14562;1;28/03/2024
Familia;1;553;1;2194;1;28/03/2024
Salud+JCYL;2;1862;0;43655;-3;28/03/2024
Gobierno Abierto de Castilla y León Transparencia;2;411;3;3769;0;28/03/2024
Turismo Castilla y León es Vida;2;886;16;124218;-30;28/03/2024
Patrimonio Natural;2;209;3;8598;-3;28/03/2024
FUESCYL Fundación Universidades;2;247;1;3673;-1;28/03/2024
ITACYL Instituto Técnico Agrario;2;560;2;2799;1;28/03/2024
Educación;2;284;0;59863;0;28/03/2024
Atención al ciudadano 012;2;1568;0;12509;-2;28/03/2024
Turismo Castilla y León es Vida;1;1140;2;95664;3;29/03/2024
ECLAP Escuela de Administración Pública;1;555;2;3991;1;29/03/2024
Familia;1;553;0;2193;-1;29/03/2024
Deporte en Castilla y León;1;759;0;2364;1;29/03/2024
Museos de Castilla y León;2;888;9;26754;0;29/03/2024
Gobierno Abierto de Castilla y León Transparencia;2;414;3;3770;1;29/03/2024
Turismo Castilla y León es Vida;2;898;12;124259;41;29/03/2024
Educación;2;284;0;59874;6;29/03/2024
Trabajo y Prevención de Castilla y León;2;277;2;4555;0;29/03/2024
Atención al ciudadano 012;2;1568;0;12512;1;29/03/2024
Energía EREN;2;1297;0;3357;0;29/03/2024
Salud+JCYL;1;1149;2;50468;1;30/03/2024
Comunicación Junta de Castilla y León;1;1647;4;38758;2;30/03/2024
Centro de Emergencias Castilla y León 112;1;2449;6;23653;3;30/03/2024
Tierra de Sabor;1;4372;1;65611;2;30/03/2024
Archivos de Castilla y León;1;926;2;6971;0;30/03/2024
ECLAP Escuela de Administración Pública;1;556;1;3992;1;30/03/2024
Castilla y León Exterior;1;83;0;1023;0;30/03/2024
Empleo en Castilla y León;1;4337;3;14565;2;30/03/2024
Deporte en Castilla y León;1;759;0;2365;1;30/03/2024
Salud+JCYL;2;1862;0;43675;8;30/03/2024
ECLAP Escuela de Administración Pública;2;404;8;6097;0;30/03/2024
Patrimonio Natural;2;216;4;8596;0;30/03/2024
FUESCYL Fundación Universidades;2;249;0;3672;1;30/03/2024
Patrimonio Castilla y León;2;2142;0;2904;0;30/03/2024
Naturaleza Castilla y León;2;8691;0;16911;3;30/03/2024
Atención al ciudadano 012;2;1572;4;12511;-1;30/03/2024
Archivos de Castilla y León;1;929;3;6971;0;31/03/2024
Marca Territorio;1;434;1;3673;-1;31/03/2024
Castilla y León Digital;1;2290;3;3636;-1;31/03/2024
Castilla y León Exterior;1;83;0;1023;0;31/03/2024
Empleo en Castilla y León;1;4340;3;14567;2;31/03/2024
ITACYL Instituto Técnico Agrario;1;1582;2;2850;-1;31/03/2024
Empresas JCYL - ICE;1;0;0;879;0;31/03/2024
Centro de Emergencias Castilla y León 112;2;585;5;81336;7;31/03/2024
FUESCYL Fundación Universidades;2;249;0;3672;0;31/03/2024
Trabajo y Prevención de Castilla y León;2;281;2;4555;0;31/03/2024
Empresas JCYL - ICE;2;99;0;3256;0;31/03/2024
Instituto de la Juventud de Castilla y León;1;1813;1;17953;-1;1/01/2024
Centro de Emergencias Castilla y León 112;1;1908;3;22735;12;1/01/2024
Tierra de Sabor;1;4146;2;64608;-1;1/01/2024
CREFES Formación y Estudios Sociales;1;45;0;3564;0;1/01/2024
ECLAP Escuela de Administración Pública;1;432;1;4058;0;1/01/2024
Empleo en Castilla y León;1;3328;1;14239;4;1/01/2024
Familia;1;437;0;2094;0;1/01/2024
Salud+JCYL;1;876;1;50279;6;2/01/2024
Instituto de la Juventud de Castilla y León;1;1819;6;17954;1;2/01/2024
Museos de Castilla y León;1;834;2;9103;0;2/01/2024
Tierra de Sabor;1;4149;3;64613;5;2/01/2024
Patrimonio Natural;1;362;1;9580;0;2/01/2024
Castilla y León Digital;1;1990;3;3405;1;2/01/2024
Deporte en Castilla y León;1;683;1;1820;14;2/01/2024
Salud+JCYL;1;879;3;50278;-1;3/01/2024
Museos de Castilla y León;1;836;2;9102;-1;3/01/2024
Empresas JCYL - ICE;1;0;0;908;0;3/01/2024
Turismo Castilla y León es Vida;1;958;2;99009;-3;4/01/2024
Tierra de Sabor;1;4152;2;64612;0;4/01/2024
Archivos de Castilla y León;1;739;1;7102;0;4/01/2024
CREFES Formación y Estudios Sociales;1;45;0;3563;0;4/01/2024
Marca Territorio;1;301;1;4094;0;4/01/2024
FUESCYL Fundación Universidades;1;375;0;3664;0;4/01/2024
Familia;1;438;0;2100;1;4/01/2024
Patrimonio Castilla y León;1;508;0;1439;0;4/01/2024
CREFES Formación y Estudios Sociales;1;45;0;3563;0;5/01/2024
ECLAP Escuela de Administración Pública;1;435;1;4062;0;5/01/2024
Marca Territorio;1;302;1;4094;0;5/01/2024
Castilla y León Digital;1;1996;0;3408;1;5/01/2024
FUESCYL Fundación Universidades;1;376;1;3664;0;5/01/2024
Castilla y León Exterior;1;64;0;1021;0;5/01/2024
Familia;1;438;0;2103;3;5/01/2024
Salud+JCYL;1;886;2;50280;3;6/01/2024
Comunicación Junta de Castilla y León;1;1260;3;37943;7;6/01/2024
Turismo Castilla y León es Vida;1;960;1;99012;-2;6/01/2024
Archivos de Castilla y León;1;743;2;7108;6;6/01/2024
Familia;1;438;0;2105;2;6/01/2024
Deporte en Castilla y León;1;686;0;1882;16;6/01/2024
Instituto de la Juventud de Castilla y León;1;1841;2;17971;1;7/01/2024
Museos de Castilla y León;1;844;2;9105;1;7/01/2024
Archivos de Castilla y León;1;745;2;0;0;7/01/2024
CREFES Formación y Estudios Sociales;1;45;0;3563;0;7/01/2024
Marca Territorio;1;304;1;4095;0;7/01/2024
Empleo en Castilla y León;1;3364;4;14275;15;7/01/2024
Familia;1;439;1;2106;1;7/01/2024
Deporte en Castilla y León;1;686;0;1895;13;7/01/2024
Instituto de la Juventud de Castilla y León;1;1846;5;17976;5;8/01/2024
Centro de Emergencias Castilla y León 112;1;1944;6;22641;0;8/01/2024
ITACYL Instituto Técnico Agrario;1;1399;1;2854;2;8/01/2024
Instituto de la Juventud de Castilla y León;1;1851;5;17981;5;9/01/2024
Centro de Emergencias Castilla y León 112;1;1949;5;22651;10;9/01/2024
ITACYL Instituto Técnico Agrario;1;1400;1;2854;0;9/01/2024
Deporte en Castilla y León;1;687;0;1924;11;9/01/2024
Empresas JCYL - ICE;1;0;0;908;0;9/01/2024
CREFES Formación y Estudios Sociales;1;45;0;3563;0;10/01/2024
ECLAP Escuela de Administración Pública;1;441;1;4072;2;10/01/2024
Salud+JCYL;1;902;3;50308;17;11/01/2024
Tierra de Sabor;1;4168;2;64632;8;11/01/2024
ITACYL Instituto Técnico Agrario;1;1405;3;2860;4;11/01/2024
Salud+JCYL;1;904;2;50320;12;12/01/2024
Museos de Castilla y León;1;854;2;9123;1;12/01/2024
Comunicación Junta de Castilla y León;1;1282;4;38027;20;12/01/2024
Archivos de Castilla y León;1;755;2;6930;2;12/01/2024
ECLAP Escuela de Administración Pública;1;443;1;4074;1;12/01/2024
Marca Territorio;1;314;3;4097;0;12/01/2024
Patrimonio Natural;1;372;1;10134;142;12/01/2024
FUESCYL Fundación Universidades;1;380;1;3666;0;12/01/2024
Empleo en Castilla y León;1;3432;15;14303;1;12/01/2024
ITACYL Instituto Técnico Agrario;1;1407;2;2863;3;12/01/2024
Patrimonio Castilla y León;1;508;0;1426;0;12/01/2024
Empresas JCYL - ICE;1;0;0;915;0;12/01/2024
Museos de Castilla y León;1;856;2;9126;3;13/01/2024
Comunicación Junta de Castilla y León;1;1282;0;38050;23;13/01/2024
ECLAP Escuela de Administración Pública;1;445;2;4077;3;13/01/2024
Marca Territorio;1;314;0;4098;1;13/01/2024
Castilla y León Digital;1;2026;3;3438;11;13/01/2024
Salud+JCYL;1;909;2;50334;11;14/01/2024
Turismo Castilla y León es Vida;1;986;2;94564;22;14/01/2024
Empleo en Castilla y León;1;3438;3;14303;1;14/01/2024
Deporte en Castilla y León;1;692;0;1966;0;14/01/2024
Comunicación Junta de Castilla y León;1;1287;4;38083;14;15/01/2024
Turismo Castilla y León es Vida;1;989;3;94589;25;15/01/2024
Patrimonio Natural;1;374;0;10732;179;15/01/2024
Instituto de la Juventud de Castilla y León;1;1879;4;18009;0;16/01/2024
Comunicación Junta de Castilla y León;1;1289;2;38090;7;16/01/2024
Tierra de Sabor;1;4176;2;64649;3;16/01/2024
Castilla y León Digital;1;2035;3;3449;0;16/01/2024
Castilla y León Exterior;1;65;0;1022;0;16/01/2024
Empleo en Castilla y León;1;3475;15;14331;25;16/01/2024
Familia;1;455;3;2127;11;16/01/2024
Deporte en Castilla y León;1;700;4;1967;0;16/01/2024
Salud+JCYL;1;920;3;50357;5;17/01/2024
Museos de Castilla y León;1;864;2;9127;-1;17/01/2024
Castilla y León Digital;1;2038;3;3451;2;17/01/2024
FUESCYL Fundación Universidades;1;385;2;3666;0;17/01/2024
Empleo en Castilla y León;1;3493;18;14342;11;17/01/2024
Patrimonio Castilla y León;1;508;0;1426;0;17/01/2024
Salud+JCYL;1;924;4;50363;6;18/01/2024
Museos de Castilla y León;1;867;3;9128;1;18/01/2024
Turismo Castilla y León es Vida;1;997;2;94898;93;18/01/2024
ECLAP Escuela de Administración Pública;1;453;2;4081;1;18/01/2024
Patrimonio Castilla y León;1;508;0;1427;1;18/01/2024
Salud+JCYL;1;927;3;50365;2;19/01/2024
Comunicación Junta de Castilla y León;1;1305;7;38113;1;19/01/2024
Centro de Emergencias Castilla y León 112;1;2016;16;22880;93;19/01/2024
Turismo Castilla y León es Vida;1;999;2;94943;45;19/01/2024
Tierra de Sabor;1;4184;4;64658;10;19/01/2024
Archivos de Castilla y León;1;769;2;6938;2;19/01/2024
CREFES Formación y Estudios Sociales;1;45;0;3564;0;19/01/2024
Patrimonio Natural;1;377;1;10424;0;19/01/2024
Empresas JCYL - ICE;1;0;0;916;0;19/01/2024
Salud+JCYL;1;930;3;50366;1;20/01/2024
Comunicación Junta de Castilla y León;1;1309;4;38121;8;20/01/2024
Turismo Castilla y León es Vida;1;1002;3;94964;21;20/01/2024
ITACYL Instituto Técnico Agrario;1;1416;1;2867;1;20/01/2024
Patrimonio Castilla y León;1;508;0;1428;1;20/01/2024
Empresas JCYL - ICE;1;0;0;916;0;20/01/2024
Comunicación Junta de Castilla y León;1;1312;3;38126;5;21/01/2024
Archivos de Castilla y León;1;771;1;6939;0;21/01/2024
Marca Territorio;1;327;1;4108;1;21/01/2024
Patrimonio Natural;1;379;1;10518;44;21/01/2024
Castilla y León Digital;1;2052;3;3457;1;21/01/2024
Empleo en Castilla y León;1;3533;4;14367;3;21/01/2024
ITACYL Instituto Técnico Agrario;1;1417;1;2869;2;21/01/2024
Deporte en Castilla y León;1;704;0;2008;15;21/01/2024
Museos de Castilla y León;1;875;2;9132;3;22/01/2024
Centro de Emergencias Castilla y León 112;1;2050;5;22991;27;22/01/2024
Patrimonio Natural;1;380;1;10643;125;22/01/2024
Castilla y León Digital;1;2055;3;3459;2;22/01/2024
Castilla y León Exterior;1;65;0;1022;0;22/01/2024
Empleo en Castilla y León;1;3546;13;14376;9;22/01/2024
ITACYL Instituto Técnico Agrario;1;1420;3;2869;0;22/01/2024
Familia;1;464;2;2139;2;22/01/2024
Deporte en Castilla y León;1;707;3;2031;23;22/01/2024
Archivos de Castilla y León;1;775;2;6937;-1;23/01/2024
Castilla y León Exterior;1;65;0;1022;0;23/01/2024
ITACYL Instituto Técnico Agrario;1;1421;1;2869;0;23/01/2024
Deporte en Castilla y León;1;709;2;2057;26;23/01/2024
Patrimonio Castilla y León;1;508;0;1429;0;23/01/2024
Salud+JCYL;1;945;4;50371;3;24/01/2024
Centro de Emergencias Castilla y León 112;1;2063;7;23026;13;24/01/2024
CREFES Formación y Estudios Sociales;1;45;0;3564;0;24/01/2024
Deporte en Castilla y León;1;711;2;2067;10;24/01/2024
Patrimonio Castilla y León;1;508;0;1429;0;24/01/2024
Instituto de la Juventud de Castilla y León;1;1918;5;18050;4;25/01/2024
Comunicación Junta de Castilla y León;1;1339;11;38144;8;25/01/2024
Tierra de Sabor;1;4200;3;64842;36;25/01/2024
CREFES Formación y Estudios Sociales;1;45;0;3564;0;25/01/2024
ECLAP Escuela de Administración Pública;1;462;1;4086;1;25/01/2024
Patrimonio Natural;1;383;1;11257;115;25/01/2024
Castilla y León Digital;1;2071;5;3470;4;25/01/2024
Castilla y León Exterior;1;65;0;1022;0;25/01/2024
Familia;1;471;2;2143;2;25/01/2024
Deporte en Castilla y León;1;715;4;2078;11;25/01/2024
CREFES Formación y Estudios Sociales;1;45;0;3565;1;26/01/2024
Deporte en Castilla y León;1;717;2;2092;14;26/01/2024
Empresas JCYL - ICE;1;0;0;918;1;26/01/2024
Salud+JCYL;1;954;3;50372;0;27/01/2024
Instituto de la Juventud de Castilla y León;1;1927;4;18088;24;27/01/2024
Museos de Castilla y León;1;887;2;9136;1;27/01/2024
Turismo Castilla y León es Vida;1;1028;7;95093;23;27/01/2024
Tierra de Sabor;1;4205;3;64909;38;27/01/2024
CREFES Formación y Estudios Sociales;1;45;0;3565;0;27/01/2024
FUESCYL Fundación Universidades;1;394;0;3670;1;27/01/2024
Instituto de la Juventud de Castilla y León;1;1929;2;18120;32;28/01/2024
Comunicación Junta de Castilla y León;1;1351;2;38162;3;28/01/2024
CREFES Formación y Estudios Sociales;1;45;0;3565;0;28/01/2024
Patrimonio Castilla y León;1;508;0;1428;-1;28/01/2024
